Train Losses,Test Losses
39.438,580.005
39.495,582.062
39.741,574.482
39.545,578.112
39.745,588.673
39.693,587.192
39.523,577.018
39.801,582.403
39.436,581.225
39.969,572.071
39.809,573.439
39.626,573.886
514.886,4578.659
43.044,534.417
40.966,553.301
42.296,570.625
40.826,575.909
17008.357,6576.723
17008.357,6576.723
14161.092,6359.617
14103.118,6397.125
14036.085,6367.829
17533.687,6823.074
14550.881,6361.708
14442.607,6382.064
14359.975,6878.541
14352.181,7486.148
14355.665,6651.922
14352.77,6371.255
14343.445,7285.535
14324.89,7074.08
14323.895,7392.487
14305.71,7179.847
14328.205,7235.0
14346.89,6876.596
14311.24,6936.059
14354.678,7358.354
14350.985,7432.921
14333.407,7577.942
14323.518,7196.389
14366.231,7612.91
14311.764,7526.358
14310.839,7057.554
14356.501,7526.014
14364.192,7690.714
14295.774,7817.652
14345.221,7071.142
14330.42,6947.517
14342.254,7341.783
14347.835,7651.172
14371.05,7440.461
14346.045,7665.142
14329.776,7113.621
14357.947,6855.197
14319.233,7865.911
14324.21,7765.112
14338.621,7216.832
14359.984,7376.051
14328.364,7636.035
14335.414,7964.132
14363.214,7972.955
14335.398,7660.733
14354.882,7428.767
14328.598,6663.542
14343.97,7677.217
14338.165,7160.37
14337.577,7375.121
14365.185,7095.183
14367.597,7485.668
14349.746,7416.655
14323.002,6728.94
14368.773,6987.273
14379.208,7320.668
14364.629,7192.532
